timestamp,outputApparentPower,outputPower,loadPercentage,batteryVoltage,batteryChargingCurrent,batteryCapacity,heatSinkTemperature,pv1InputCurrent,pv1InputVoltage,batteryDischargeCurrent,pv1InputPower,pv2InputCurrent,pv2InputVoltage,pv2InputPower,inputPower,batteryCurrent
1714729509501,276.0,129.0,3,50.1,2,59,46.0,1.2,97.4,0.0,117.0,1.0,100.2,106.0,223.0,2.0
1714750815383,230.0,47.0,2,51.2,1,70,45.0,0.3,90.0,0.0,29.0,0.4,90.0,43.0,72.0,1.0
1714750825382,230.0,61.0,2,51.2,1,70,45.0,0.3,89.9,0.0,28.0,0.4,90.0,43.0,71.0,1.0
1714753852029,253.0,125.0,3,50.9,0,67,44.0,0.4,89.9,0.0,40.0,0.5,90.6,51.0,91.0,0.0
1714753862025,253.0,89.0,3,50.9,1,67,44.0,0.4,90.0,0.0,39.0,0.5,90.6,50.0,89.0,1.0
1714755097181,252.0,95.0,3,50.7,0,65,43.0,0.2,90.0,0.0,22.0,0.4,90.0,36.0,58.0,0.0
1714755107176,230.0,94.0,2,50.8,0,66,43.0,0.2,90.0,0.0,21.0,0.4,90.0,36.0,57.0,0.0
1714755117177,253.0,102.0,3,50.7,0,65,43.0,0.2,90.0,0.0,21.0,0.4,89.9,36.0,57.0,0.0
1714755127173,253.0,98.0,3,50.7,0,65,43.0,0.2,90.0,0.0,20.0,0.3,89.9,35.0,55.0,0.0
1714755137173,230.0,91.0,2,50.7,0,65,43.0,0.2,90.0,0.0,21.0,0.3,89.9,35.0,56.0,0.0
1714755147177,253.0,98.0,3,50.7,0,65,43.0,0.2,90.0,0.0,20.0,0.3,90.0,35.0,55.0,0.0
1714755157173,230.0,69.0,2,50.7,0,65,43.0,0.2,90.0,0.0,20.0,0.4,90.0,36.0,56.0,0.0
1714755167173,253.0,106.0,3,50.7,0,65,43.0,0.2,90.0,0.0,20.0,0.3,90.0,35.0,55.0,0.0
1714755177173,252.0,107.0,3,50.7,0,65,42.0,0.2,90.0,0.0,21.0,0.4,90.0,36.0,57.0,0.0
1714755187173,253.0,101.0,3,50.7,0,65,42.0,0.2,90.0,0.0,20.0,0.3,90.0,35.0,55.0,0.0
1714755197168,253.0,97.0,3,50.7,0,65,42.0,0.2,90.0,0.0,20.0,0.3,90.0,35.0,55.0,0.0
1714755207172,253.0,96.0,3,50.7,0,65,42.0,0.2,90.0,0.0,20.0,0.3,90.0,35.0,55.0,0.0
1714755217177,253.0,92.0,3,50.7,0,65,42.0,0.2,90.0,0.0,20.0,0.3,89.9,35.0,55.0,0.0
1714755227169,253.0,101.0,3,50.7,0,65,42.0,0.2,90.0,0.0,19.0,0.3,90.0,35.0,54.0,0.0
1714755237180,230.0,80.0,2,50.7,0,65,42.0,0.2,90.0,0.0,20.0,0.3,90.0,35.0,55.0,0.0
1714758141024,252.0,118.0,3,50.4,0,62,41.0,0.0,89.9,0.0,0.0,0.0,90.0,7.0,7.0,0.0
1714758151021,230.0,91.0,2,50.4,0,62,41.0,0.0,90.0,0.0,0.0,0.0,90.0,7.0,7.0,0.0
1714758161021,229.0,88.0,2,50.4,0,62,41.0,0.0,90.0,0.0,0.0,0.0,90.0,7.0,7.0,0.0
1714758171025,229.0,100.0,2,50.4,0,62,41.0,0.0,90.0,0.0,0.0,0.0,90.0,7.0,7.0,0.0
1714758181028,230.0,82.0,2,50.4,0,62,41.0,0.0,90.0,0.0,0.0,0.0,90.0,7.0,7.0,0.0
1714758191017,230.0,84.0,2,50.4,0,62,41.0,0.0,89.3,0.0,0.0,0.0,90.0,8.0,8.0,0.0
1714758201021,230.0,89.0,2,50.4,0,62,41.0,0.0,89.1,0.0,0.0,0.0,89.9,8.0,8.0,0.0
1714758211025,207.0,36.0,2,50.4,0,62,41.0,0.0,89.0,0.0,0.0,0.0,90.0,8.0,8.0,0.0
1714758221016,229.0,50.0,2,50.5,0,63,41.0,0.0,89.0,0.0,0.0,0.0,90.0,7.0,7.0,0.0
1714758231025,206.0,44.0,2,50.5,0,63,41.0,0.0,89.0,0.0,0.0,0.0,89.9,7.0,7.0,0.0
1714758442273,230.0,49.0,2,50.5,0,63,41.0,0.0,89.0,0.0,0.0,0.0,89.9,4.0,4.0,0.0
1714758452277,230.0,44.0,2,50.5,0,63,41.0,0.0,88.8,0.0,0.0,0.0,90.0,4.0,4.0,0.0
1714758462276,230.0,41.0,2,50.5,0,63,41.0,0.0,88.8,0.0,0.0,0.0,90.0,3.0,3.0,0.0
1714758804661,229.0,70.0,2,50.4,0,62,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1714758814657,206.0,37.0,2,50.5,0,63,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1714758824653,230.0,47.0,2,50.5,0,63,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1714758834653,207.0,44.0,2,50.5,0,63,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1714758844653,207.0,40.0,2,50.5,0,63,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1714758854657,206.0,34.0,2,50.5,0,63,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1714758864657,207.0,39.0,2,50.5,0,63,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1714758874653,206.0,46.0,2,50.5,0,63,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1714758884657,207.0,33.0,2,50.5,0,63,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1714758894653,207.0,42.0,2,50.5,0,63,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1714758904657,230.0,42.0,2,50.5,0,63,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1714822406045,2600.0,2595.0,32,53.6,20,100,51.0,9.2,246.3,0.0,2272.0,7.9,177.0,1399.0,3671.0,20.0
1714822418798,2595.0,2588.0,32,53.6,20,100,51.0,9.3,245.3,0.0,2282.0,7.8,178.0,1400.0,3682.0,20.0
1714823606249,4593.0,4593.0,57,56.0,40,100,43.0,6.2,275.6,0.0,1719.0,2.1,223.9,482.0,2201.0,40.0
1714823616245,4577.0,4572.0,57,56.1,40,100,43.0,6.3,274.1,0.0,1739.0,2.2,218.1,485.0,2224.0,40.0
1714824355961,4253.0,4253.0,53,51.0,0,100,44.0,8.1,244.1,0.0,1991.0,7.8,170.8,1338.0,3329.0,-16.0
1714824365969,4238.0,4238.0,52,50.0,0,100,44.0,6.6,243.4,0.0,1630.0,6.0,169.9,1022.0,2652.0,-33.0
1714824375961,1958.0,1958.0,24,50.8,2,98,44.0,5.5,245.0,0.0,1354.0,3.6,171.3,622.0,1976.0,2.0
1714824385961,1964.0,1964.0,24,50.6,0,96,44.0,3.6,246.0,0.0,895.0,3.6,168.8,618.0,1513.0,-8.0
1714824395961,1955.0,1951.0,24,50.6,0,96,44.0,3.5,249.3,0.0,894.0,4.0,174.2,706.0,1600.0,-8.0
1714824405969,1072.0,1064.0,13,51.7,16,75,45.0,4.4,215.3,0.0,952.0,5.9,155.2,917.0,1869.0,16.0
1714824415965,3361.0,3361.0,42,50.4,0,94,44.0,6.5,196.0,0.0,1280.0,5.5,172.1,947.0,2227.0,-17.0
1714824425961,3348.0,3348.0,41,49.3,0,83,44.0,3.7,200.5,0.0,744.0,3.0,171.7,517.0,1261.0,-40.0
1714824435964,3354.0,3354.0,41,49.0,0,80,44.0,3.3,214.1,0.0,716.0,3.0,167.4,513.0,1229.0,-41.0
1714824445957,253.0,127.0,3,51.7,24,75,44.0,3.2,243.4,0.0,801.0,3.3,171.4,567.0,1368.0,24.0
1714824455965,253.0,135.0,3,52.5,31,83,44.0,3.8,252.2,0.0,963.0,5.6,174.8,995.0,1958.0,31.0
1714824465965,276.0,148.0,3,53.0,27,88,44.0,4.1,226.6,0.0,939.0,3.3,178.0,605.0,1544.0,27.0
1714824475965,2415.0,2415.0,30,51.2,0,100,44.0,3.9,233.5,0.0,932.0,3.6,184.6,669.0,1601.0,-13.0
1714824485961,2417.0,2417.0,30,50.9,0,99,44.0,4.3,253.1,0.0,1101.0,6.1,162.9,1003.0,2104.0,-9.0
1714824495965,3349.0,3349.0,41,49.7,0,87,44.0,3.9,257.2,0.0,1008.0,4.4,174.6,779.0,1787.0,-30.0
1714824505969,3360.0,3360.0,42,49.9,0,89,44.0,5.1,247.3,0.0,1269.0,7.1,132.4,951.0,2220.0,-21.0
1714824515961,1104.0,1088.0,13,52.3,23,81,44.0,6.3,225.3,0.0,1435.0,6.3,134.8,855.0,2290.0,23.0
1714824525961,253.0,131.0,3,54.4,41,100,44.0,6.1,251.0,0.0,1541.0,5.7,183.6,1050.0,2591.0,41.0
1714824535957,2404.0,2404.0,30,52.7,13,100,43.0,6.8,258.8,0.0,1779.0,8.2,157.7,1298.0,3077.0,13.0
1714824570809,230.0,103.0,2,55.0,40,100,44.0,4.9,278.4,0.0,1385.0,4.9,191.9,941.0,2326.0,40.0
1714824575809,229.0,105.0,2,55.3,40,100,44.0,5.0,277.8,0.0,1392.0,4.9,191.9,944.0,2336.0,40.0
1714824580809,229.0,103.0,2,55.5,39,100,44.0,4.9,278.0,0.0,1389.0,7.7,169.8,1315.0,2704.0,39.0
1714824585805,1058.0,1050.0,13,55.6,38,100,43.0,7.9,243.5,0.0,1924.0,7.7,169.9,1317.0,3241.0,38.0
1714824590809,1058.0,1050.0,13,55.8,38,100,44.0,7.8,245.7,0.0,1925.0,7.8,168.9,1319.0,3244.0,38.0
1714824595813,3328.0,3328.0,41,53.2,0,100,44.0,7.7,247.6,0.0,1926.0,7.8,169.2,1320.0,3246.0,0.0
1714824600805,3336.0,3334.0,41,52.9,0,100,44.0,7.8,247.3,0.0,1934.0,7.8,168.5,1322.0,3256.0,0.0
1714824605809,3333.0,3333.0,41,52.6,0,100,44.0,7.8,245.4,0.0,1930.0,7.8,167.6,1317.0,3247.0,0.0
1714824610805,3318.0,3318.0,41,52.5,0,100,44.0,7.8,245.9,0.0,1925.0,7.7,169.0,1313.0,3238.0,0.0
1714824615809,3356.0,3356.0,41,52.3,0,100,44.0,7.8,245.9,0.0,1921.0,7.7,169.0,1313.0,3234.0,0.0
1714824620813,3343.0,3343.0,41,52.3,0,100,44.0,7.8,243.8,0.0,1921.0,7.8,167.9,1314.0,3235.0,0.0
1714824625805,2393.0,2389.0,29,51.9,0,100,44.0,8.3,140.1,0.0,1168.0,4.0,203.9,819.0,1987.0,-7.0
1714824630801,230.0,105.0,2,54.7,38,100,44.0,5.0,277.1,0.0,1388.0,4.0,201.7,817.0,2205.0,38.0
1714824635808,253.0,126.0,3,56.2,43,100,44.0,6.9,260.7,0.0,1824.0,3.2,208.9,689.0,2513.0,43.0
1714824640809,229.0,110.0,2,55.9,40,100,44.0,6.4,265.1,0.0,1705.0,3.2,209.1,689.0,2394.0,40.0
1714824645805,230.0,100.0,2,56.0,40,100,44.0,6.4,265.6,0.0,1705.0,5.9,183.0,1089.0,2794.0,40.0
1714824650805,1058.0,1058.0,13,55.2,33,100,44.0,8.0,210.8,0.0,1702.0,7.9,162.9,1298.0,3000.0,33.0
1714824655805,3350.0,3350.0,41,53.0,0,100,44.0,7.9,230.3,0.0,1837.0,7.5,170.8,1294.0,3131.0,-2.0
1714824660801,3338.0,3338.0,41,52.8,0,100,45.0,7.6,246.8,0.0,1880.0,7.6,169.6,1291.0,3171.0,-1.0
1714824665801,3350.0,3350.0,41,52.6,0,100,45.0,7.8,240.3,0.0,1878.0,7.6,167.6,1289.0,3167.0,-2.0
1714824670805,3361.0,3361.0,42,52.5,0,100,45.0,7.5,249.3,0.0,1877.0,7.6,167.6,1289.0,3166.0,-2.0
1714824675808,3397.0,3397.0,42,52.2,0,100,45.0,7.6,244.0,0.0,1875.0,6.2,166.8,1048.0,2923.0,-3.0
1714824680800,3376.0,3375.0,42,51.7,0,100,45.0,6.2,244.1,0.0,1535.0,6.5,166.1,1084.0,2619.0,-13.0
1714824685809,3385.0,3382.0,42,51.9,0,100,45.0,7.4,248.7,0.0,1845.0,5.3,190.7,1022.0,2867.0,-4.0
1714824690805,275.0,154.0,3,55.2,40,100,45.0,5.2,274.1,0.0,1440.0,4.9,189.8,945.0,2385.0,40.0
1714824695801,276.0,154.0,3,55.7,40,100,45.0,5.2,274.0,0.0,1436.0,4.9,189.8,948.0,2384.0,40.0
1714824700805,275.0,152.0,3,55.8,40,100,45.0,5.2,274.3,0.0,1448.0,5.0,189.9,960.0,2408.0,40.0
1714824705809,1126.0,1119.0,14,55.8,37,100,45.0,7.8,243.4,0.0,1920.0,7.6,167.6,1281.0,3201.0,37.0
1714824710804,1102.0,1101.0,13,55.8,37,100,45.0,7.7,243.2,0.0,1887.0,7.9,164.6,1301.0,3188.0,37.0
1714824715805,3371.0,3371.0,42,53.2,0,100,45.0,7.6,246.2,0.0,1884.0,7.5,164.9,1245.0,3129.0,-2.0
1714824720805,3373.0,3373.0,42,52.8,0,100,45.0,7.5,247.5,0.0,1871.0,7.8,164.5,1293.0,3164.0,-4.0
1714824725804,3385.0,3383.0,42,52.7,0,100,45.0,7.6,248.2,0.0,1888.0,7.8,164.5,1293.0,3181.0,-2.0
1714824730748,3380.0,3380.0,42,52.5,0,100,45.0,7.8,242.9,0.0,1904.0,7.7,168.6,1310.0,3214.0,-1.0
1714824735808,3381.0,3376.0,42,52.4,0,100,45.0,7.8,242.0,0.0,1903.0,7.8,166.1,1304.0,3207.0,-1.0
1714824740808,3381.0,3377.0,42,52.3,0,100,45.0,7.7,243.5,0.0,1899.0,7.8,165.4,1304.0,3203.0,-2.0
1714824745808,1104.0,1093.0,13,55.0,37,100,45.0,7.7,243.2,0.0,1886.0,7.8,164.6,1299.0,3185.0,37.0
1714824750805,276.0,154.0,3,55.3,38,100,45.0,4.8,275.9,0.0,1338.0,5.2,188.0,991.0,2329.0,38.0
1714824755804,275.0,154.0,3,55.9,40,100,45.0,5.1,273.7,0.0,1420.0,5.2,187.9,993.0,2413.0,40.0
1714824760800,298.0,163.0,3,56.2,40,100,45.0,5.2,273.2,0.0,1422.0,5.3,187.4,997.0,2419.0,40.0
1714824765745,299.0,165.0,3,56.3,40,100,45.0,5.2,272.8,0.0,1431.0,5.3,187.3,1002.0,2433.0,40.0
1714824770800,276.0,161.0,3,56.5,40,100,45.0,5.2,272.7,0.0,1438.0,8.4,92.5,777.0,2215.0,40.0
1714824775801,2440.0,2440.0,30,53.4,0,100,45.0,8.1,149.3,0.0,1219.0,8.3,96.9,808.0,2027.0,-7.0
1714824780809,2443.0,2443.0,30,53.0,0,100,45.0,8.0,160.1,0.0,1292.0,8.1,106.1,867.0,2159.0,-3.0
1714824785801,2420.0,2419.0,30,53.1,4,100,45.0,8.2,188.6,0.0,1548.0,8.1,137.6,1126.0,2674.0,4.0
1714824790801,2430.0,2430.0,30,53.3,10,100,45.0,8.0,209.5,0.0,1691.0,7.1,172.6,1230.0,2921.0,10.0
1714824795804,2446.0,2446.0,30,53.4,13,100,45.0,7.4,249.5,0.0,1865.0,7.7,167.0,1294.0,3159.0,13.0
1714824800801,276.0,153.0,3,55.2,38,100,45.0,4.9,274.9,0.0,1359.0,4.9,189.1,944.0,2303.0,38.0
1714824805800,275.0,164.0,3,55.9,40,100,45.0,5.2,272.9,0.0,1439.0,5.2,187.9,982.0,2421.0,40.0
1714824810805,276.0,155.0,3,56.3,40,100,45.0,5.3,272.8,0.0,1447.0,5.2,187.7,988.0,2435.0,40.0
1714824815809,276.0,168.0,3,56.5,40,100,45.0,5.3,272.7,0.0,1448.0,5.2,188.0,987.0,2435.0,40.0
1714824820801,276.0,164.0,3,56.5,39,100,45.0,5.3,272.4,0.0,1447.0,5.0,189.4,956.0,2403.0,39.0
1714824825800,276.0,168.0,3,56.4,38,100,45.0,5.0,273.5,0.0,1390.0,4.9,189.4,938.0,2328.0,38.0
1714824830801,275.0,162.0,3,56.4,37,100,45.0,5.0,274.1,0.0,1375.0,5.1,181.0,931.0,2306.0,37.0
1714824835800,2449.0,2449.0,30,54.4,10,100,45.0,6.7,259.3,0.0,1742.0,6.8,174.9,1198.0,2940.0,10.0
1714824840809,2451.0,2451.0,30,54.4,13,100,45.0,7.2,251.8,0.0,1825.0,7.7,168.9,1302.0,3127.0,13.0
1714824845805,2441.0,2441.0,30,54.2,13,100,45.0,7.6,246.2,0.0,1893.0,7.8,165.2,1301.0,3194.0,13.0
1714824850805,2436.0,2436.0,30,54.1,14,100,45.0,7.7,242.9,0.0,1893.0,7.8,166.0,1300.0,3193.0,14.0
1714824855805,2459.0,2450.0,30,54.1,13,100,45.0,7.8,242.0,0.0,1890.0,6.0,189.6,1140.0,3030.0,13.0
1714824860800,276.0,163.0,3,56.3,40,100,45.0,5.2,272.5,0.0,1437.0,5.3,187.0,1001.0,2438.0,40.0
1714824865801,299.0,179.0,3,56.4,38,100,45.0,5.1,274.0,0.0,1405.0,5.0,189.4,963.0,2368.0,38.0
1714824870809,276.0,172.0,3,56.4,37,100,45.0,5.0,274.0,0.0,1370.0,4.9,189.5,942.0,2312.0,37.0
1714824875800,275.0,173.0,3,56.4,36,100,45.0,4.8,275.3,0.0,1343.0,4.9,189.9,934.0,2277.0,36.0
1714824880809,275.0,169.0,3,56.4,36,100,45.0,4.8,275.2,0.0,1332.0,4.8,190.2,913.0,2245.0,36.0
1714824885804,299.0,183.0,3,56.4,35,100,45.0,4.7,275.2,0.0,1306.0,4.7,190.5,903.0,2209.0,35.0
1714824890801,276.0,171.0,3,56.4,35,100,46.0,4.6,275.3,0.0,1286.0,4.6,191.6,895.0,2181.0,35.0
1714824895804,276.0,171.0,3,56.4,35,100,46.0,4.6,275.3,0.0,1286.0,7.6,165.4,1269.0,2555.0,35.0
1714824900804,2457.0,2457.0,30,54.5,12,100,46.0,7.7,239.7,0.0,1846.0,7.7,165.5,1277.0,3123.0,12.0
1714824905804,2448.0,2448.0,30,54.4,13,100,46.0,7.6,241.5,0.0,1858.0,7.7,165.8,1281.0,3139.0,13.0
1714824910801,2452.0,2452.0,30,54.3,13,100,46.0,7.6,243.2,0.0,1860.0,7.7,165.7,1277.0,3137.0,13.0
1714824915801,2459.0,2459.0,30,54.2,13,100,46.0,7.6,242.5,0.0,1854.0,5.3,186.1,991.0,2845.0,13.0
1714824920808,275.0,178.0,3,56.5,38,100,45.0,5.0,272.4,0.0,1385.0,5.0,187.9,958.0,2343.0,38.0
1714824925805,299.0,183.0,3,56.4,37,100,45.0,4.9,273.8,0.0,1351.0,4.8,189.5,916.0,2267.0,37.0
1714824930804,276.0,155.0,3,56.4,35,100,45.0,4.7,274.7,0.0,1316.0,4.7,189.9,907.0,2223.0,35.0
1714824935800,275.0,172.0,3,56.4,35,100,45.0,4.7,275.0,0.0,1305.0,4.6,191.0,890.0,2195.0,35.0
1714824940805,275.0,170.0,3,56.4,34,100,46.0,4.6,276.2,0.0,1278.0,4.5,191.3,875.0,2153.0,34.0
1714824945808,275.0,165.0,3,56.4,34,100,46.0,4.5,276.2,0.0,1257.0,4.5,191.4,869.0,2126.0,34.0
1714824950808,276.0,173.0,3,56.4,34,100,47.0,4.5,276.6,0.0,1248.0,7.5,166.2,1257.0,2505.0,34.0
1714824955800,2442.0,2442.0,30,54.8,11,100,47.0,7.4,244.0,0.0,1829.0,7.5,166.8,1255.0,3084.0,11.0
1714824960801,2453.0,2453.0,30,54.7,11,100,47.0,7.4,244.4,0.0,1830.0,7.5,166.7,1255.0,3085.0,11.0
1714824965805,2451.0,2451.0,30,54.5,12,100,47.0,7.4,244.7,0.0,1831.0,7.5,167.3,1256.0,3087.0,12.0
1714824970808,2463.0,2456.0,30,54.4,12,100,47.0,7.5,243.2,0.0,1838.0,7.7,162.9,1258.0,3096.0,12.0
1714824975800,2435.0,2430.0,30,54.3,12,100,46.0,7.5,243.2,0.0,1844.0,5.3,186.1,995.0,2839.0,12.0
1714824980805,275.0,179.0,3,56.5,37,100,46.0,4.9,273.2,0.0,1343.0,4.8,189.6,924.0,2267.0,37.0
1714824985805,275.0,172.0,3,56.4,35,100,46.0,4.7,274.7,0.0,1314.0,4.6,190.1,892.0,2206.0,35.0
1714824990804,276.0,182.0,3,56.4,35,100,46.0,4.6,275.3,0.0,1277.0,4.6,190.8,879.0,2156.0,35.0
1714824995800,299.0,182.0,3,56.4,34,100,46.0,4.5,275.3,0.0,1249.0,4.5,191.9,868.0,2117.0,34.0
1714825000808,299.0,180.0,3,56.4,33,100,46.0,4.4,276.3,0.0,1242.0,4.4,192.2,852.0,2094.0,33.0
1714825005816,276.0,174.0,3,56.4,33,100,47.0,4.4,276.6,0.0,1228.0,4.3,192.7,842.0,2070.0,33.0
1714825010800,276.0,181.0,3,56.5,32,100,47.0,4.3,277.1,0.0,1203.0,4.3,193.6,838.0,2041.0,32.0
1714825015809,2467.0,2467.0,30,54.8,9,100,47.0,7.8,225.3,0.0,1764.0,7.7,152.7,1181.0,2945.0,9.0
1714825020804,2435.0,2435.0,30,54.6,10,100,47.0,7.6,236.0,0.0,1802.0,7.3,167.7,1235.0,3037.0,10.0
1714825025804,2426.0,2426.0,30,54.6,11,100,47.0,7.6,236.0,0.0,1804.0,7.5,164.0,1240.0,3044.0,11.0
1714825030800,2422.0,2422.0,30,54.4,11,100,47.0,7.4,244.1,0.0,1812.0,7.4,165.7,1234.0,3046.0,11.0
1714825035804,2438.0,2435.0,30,54.3,11,100,47.0,7.3,244.2,0.0,1807.0,7.4,166.4,1233.0,3040.0,11.0
1714825040804,253.0,148.0,3,56.7,39,100,46.0,5.1,272.1,0.0,1398.0,4.6,190.7,878.0,2276.0,39.0
1714825045800,275.0,159.0,3,56.3,34,100,46.0,4.4,276.9,0.0,1238.0,4.4,191.9,851.0,2089.0,34.0
1714825050804,275.0,149.0,3,56.3,33,100,46.0,4.3,277.8,0.0,1205.0,4.3,192.7,845.0,2050.0,33.0
1714825055808,252.0,130.0,3,56.3,33,100,46.0,4.2,278.0,0.0,1188.0,4.2,193.8,831.0,2019.0,33.0
1714825060800,253.0,152.0,3,56.3,32,100,47.0,4.1,278.1,0.0,1166.0,4.2,193.8,831.0,1997.0,32.0
1714825065804,275.0,171.0,3,56.3,32,100,47.0,4.1,278.5,0.0,1156.0,4.1,197.0,813.0,1969.0,32.0
1714825572365,2421.0,2421.0,30,51.5,0,100,47.0,2.4,236.9,0.0,574.0,2.2,175.8,399.0,973.0,-26.0
1714825577353,276.0,167.0,3,52.8,16,86,47.0,2.3,245.3,0.0,587.0,2.3,175.4,411.0,998.0,16.0
1714825582361,276.0,165.0,3,53.2,17,90,47.0,2.4,244.2,0.0,603.0,2.3,180.8,428.0,1031.0,17.0
1714825587357,276.0,155.0,3,53.3,17,91,47.0,2.4,253.2,0.0,628.0,2.8,178.3,500.0,1128.0,17.0
1714825592357,275.0,153.0,3,53.7,20,95,47.0,2.7,250.1,0.0,700.0,2.7,174.9,477.0,1177.0,20.0
1714825597357,275.0,163.0,3,53.7,19,95,47.0,2.7,247.3,0.0,687.0,3.1,168.9,528.0,1215.0,19.0
1714825602361,298.0,184.0,3,54.6,27,100,47.0,3.4,258.1,0.0,902.0,4.6,158.9,741.0,1643.0,27.0
1714825607357,276.0,164.0,3,56.7,34,100,47.0,4.9,261.9,0.0,1305.0,4.1,185.4,774.0,2079.0,34.0
1714825612357,276.0,180.0,3,56.3,30,100,47.0,4.6,272.5,0.0,1263.0,3.2,208.0,673.0,1936.0,30.0
1714825617353,299.0,183.0,3,56.3,30,100,47.0,4.2,279.6,0.0,1195.0,7.5,165.1,1246.0,2441.0,30.0
1714825622357,2422.0,2422.0,30,54.0,11,100,47.0,7.6,230.9,0.0,1776.0,7.5,165.8,1247.0,3023.0,11.0
1714825627365,2426.0,2426.0,30,54.0,12,100,47.0,7.3,245.7,0.0,1809.0,7.4,165.5,1234.0,3043.0,12.0
1714825632357,2414.0,2414.0,30,53.9,11,100,46.0,7.2,246.3,0.0,1789.0,7.4,165.1,1229.0,3018.0,11.0
1714825637353,2432.0,2432.0,30,53.9,11,100,46.0,7.1,249.4,0.0,1790.0,3.8,203.6,778.0,2568.0,11.0
1714825642357,276.0,150.0,3,56.3,29,100,46.0,3.6,284.3,0.0,1034.0,3.6,205.2,749.0,1783.0,29.0
1714825647361,253.0,141.0,3,56.3,28,100,46.0,3.5,284.0,0.0,1006.0,3.6,205.2,744.0,1750.0,28.0
